English,Gothic
allegorically -- allegorically portrayed,got. al-ja-leik-æþ-s* 1
allot,got. ga-da-i-l-jan* 8
alloted portion,got. hlau-t-s 4
-- be allotted s.th.,got. *hliu-t-an?
-- have allotted to o.s.,got. *hliu-t-an?
allotment,got. hlau-t-s 4
allow,"got. lÐ-t-an* 21, us-laub-jan* 11, *laub-jan"
allowed -- be allowed,got. bi-naúh-an* 3
-- it is allowed,got. *nahall-ruler
all-working one,got. al-l-a-waúrst-w-a* 1
almighty,got. al-l-wald-an-d-s 1
almsgiving (N.),got. armai-æ 10=9
aloft,got. iup-a 5
alone,"got. ai-n-a-k-l-s* 1, ai-n-s 197, sun-dr-æ 10"
-- leave alone,got. lÐ-t-an* 21
-- let alone,got. lÐ-t-an* 21
-- standing alone,got. ai-n-a-k-l-s* 1
along,"got. and 35, faúr 79=78, mi-þ 254=252"
-- along with (Präf.),got. *ga- got.
alongside,"got. faúr 79=78, mi-þ 254=252"
aloud -- cry aloud,got. uf-wæp-jan* 4
alphabet -- letter of the alphabet,got. *sta-f-s 3
already,"got. ju 37, ju-þan 15"
also,"got. auk 286=285, jah 3915, u-h (1) 248=246"
-- also not,got. ni-h 147
-- so also,"got. swa-h 11, swa-u 1"
-- there also,got. þa-r-uh 74
altar,"got. hun-sl-a-staþ-s* 4, uf-ar-skaf-t-s 1"
alter (V.),got. mai-d-jan* 1
alternately,got. mis-s-æ 64=63
alternatively,got. aí-þ-þau 156=155
although,got. þau-h-ja-ba-i 3
always,got. sin-tein-æ 36
amass (V.),got. ga-dra-g-an* 1
amazed,got. us-fil-m-a* 2
-- be amazed,"got. af-s-lau-þ-n-an 3, si-ld-a-leik-jan* 30"
amazement,"got. *fil-m-s?, si-ld-a-leik 1, us-fil-m-ei 2"
amazing,got. si-ld-a-leik-s 3
ambush (N.),got. *fÐr?
ambusher,got. fÐr-j-a* 1
ameliorate,got. *ius-il-æn?
amelioration,got. ius-il-a 2
amen,got. amen 81
amenable -- amenable to persuasion,got. ga-¸aírb-s* 1
amiable,got. liub-a-leik-s* 1
amongst,got. mi-þ 254=252
amount,got. *þrai-h-n
-- copious amount,got. fil-u 79
-- great amount of,got. mik-il-s 54
-- measured amount,got. mi-t-ad-j-æ* 1
ample (Adj.),got. ga-næh-s* 7
amputate,"got. af-mai-t-an* 8, us-mai-t-an* 6"
an,got. ai-n-s 197
analogically -- analogically configured,got. al-ja-leik-æþ-s* 1
anathema,got. ana-þaím-a 2
ancestor,"got. ai-r-iz-a* 4, *an-a (2)"
ancestral -- ancestral homeland,got. æþal* 2
-- ancestral inheritance,got. æþal* 2
ancestry -- catalogue of ancestry,got. ga-baúr-þ-i-waur-d* 1
-- record of ancestry,got. ga-baúr-þ-i-waur-d* 1
and,"got. jah 3915, u-h (1) 248=246, aí-þ-þau 156=155, naúh-þan-uh 14, þa-r-uh"
"74, þan-uh 88, bi-jand-z-uþ-þan 1",
-- and if,got. jaþ-þÐ 45
-- and if ...,got. jaþ-þÐ 45
-- and not,got. ni-h 147
-- and so,"got. nð-h 3, swa-h 11"
-- and so when,got. swa-þ-þan 1
-- and the,got. þan-uh 88
-- and then,got. þan 595=593
-- and there,got. þa-r-uh 74
-- and therefore,got. nð-h 3
-- and thus when,got. swa-þ-þan 1
-- and who,got. sa-h 74
-- and yet even,got. naúh-uþ-þan 1
anew,got. iup-a-na 1
angel,got. agg-il-u-s 38
anger (N.),"got. jiuk-a* 2, mæ-þ-s* (1) 2, þwaírh-ei 13"
-- cause (N.) for anger,got. ga-mar-z-ein-s* 3
-- incite to anger,got. in-gra-m-jan* 1
-- directed anger,got. ha-ti-s 11
-- put in a state of anger,got. in-gra-m-jan* 1
anger (V.),got. in-al-jan-æn* 2
Angle,got. *Agg-il-s?
angriness,got. þwaírh-ei 13
angry,"got. *gra-m-s, mæ-d-ag-s 2, þwaírh-s 3"
-- angry hostility,got. ha-ti-s 11
-- be angry with,got. hat-i-z-æn* 1
-- make angry,got. gra-m-jan* 1
anguish (N.),"got. *gau-r-, gau-r-ei* 1, gau-r-iþ-a 1"
-- cause (V.) anguish to,got. gau-r-jan* 10
anguished,got. gau-r-s 6
animal,got. diu-s* 2
-- male animal,got. gum-ein* 1
-- wild animal,"got. diu-s* 2, un-biar-i* 1"
-- sacrificial animal,got. *ta-b-an?
-- sacrificial animal of poor people,got. hrai-w-a-dðb-æ* 1
animosity,got. ha-ti-s 11
annihilate,"got. fra-qis-t-jan 23, us-qi-m-an 27, us-qis-t-jan 8"
announce (V.),"got. *kun-þ-jan?, ga-kan-n-jan 13, ga-spil-l-æn* 1, ga-tei-h-an* 28,"
*tei-h-an,
-- announce (V.) as a pledge,got. ga-hai-t-an* 8
-- announce (V.) beforehand,got. faúr-a-ga-tei-h-an* 2
announcer,got. spil-l-a 1
announcement -- exposing announcement,got. us-qi-s-s* 1
annoyed,got. af-dáu-iþ-s* 1
anoint (V.),"got. ga-salb-æn* 6, bi-sme-i-t-an* 1, ga-sme-i-t-an* 1, salb-æn 5"
another,"got. *al-i- got., *al-ja-leik-s?, al-ji-s* 5, an-þar 157"
-- one another,got. mis-s-æ 64=63
answer (N.),"got. and-a-haf-t-s 3, anda-waúr-d-i* 3"
answer (V.),"got. and-haf-jan 138, and-waúr-d-jan* 1"
-- answer back to,got. and-waúr-d-jan* 1
ant,"got. *Ðmait-j-a?, *muir-jæ 1"
antagonism -- show antagonism toward,got. hat-an* 2
antagonistic,"got. and-a-nei-þ-a* 3, *and-a-nei-þ-s?"
antagonistically -- stare antagonistically at,got. and-staúr-r-an* 1
ante-portal -- ante-portal area,got. faúr-a-daúr-i* 1
anthropic,got. man-n-isk-s* 3
anticipate,got. wÐn-jan* 20=19
anticipation -- speed in anticipation,got. faúr-sniw-an* 3
-- hasten in anticipation,got. faúr-sniw-an* 3
-- hopeful anticipation,got. wÐn-s 18
antipathetical -- be antipathetical toward,got. hat-an* 2
antiquated,got. faír-n-ei-s* 15
antiquity,got. faír-n-iþ-a* 1
antithetical,got. *and-a-nei-þ-s?
anxiety,got. agg-w-iþ-a 5
-- have anxiety about,got. maúr-n-an* 4
anxious,"got. faúrh-t-s* 2, *kar-ja?"
-- be anxious,"got. faúrh-t-jan* 6, maúr-n-an* 4, saúrg-an 7"
-- become anxious,got. faúrh-t-jan* 6
-- make anxious,got. af-swaggw-jan* 1
any -- any the,got. þÐ 1
anybody,got. man-n-a-hun 13
anyone,"got. ai-n-s 197, ai-n-s-hun 75, ¸a-s 397=394, ¸a-s-hun 9, man-n-a-hun 13,"
sum-s 140,
-- anyone who,got. sa-¸az-uh 14
-- not anyone (in neg. sentences),got. ai-n-s-hun 75
anything,"got. ¸a-s 397=394, waíh-t-s 80=79"
apart,"got. dis- got., sun-dr-æ 10"
-- apart from,got. in-u-h 49
apathy,got. un-lus-tu-s* 1
apologia,got. s-un-j-æn-s* 3
apostle,got. apaú-staúl-us 36=35
-- false apostle,got. ga-liug-a-apaú-staúlu-s* 1
-- office of an apostle,got. apaú-staúl-ei* 2
apostleship,got. apaú-staúl-ei* 2
apostolate,got. apaú-staúl-ei* 2
apparatus -- apparatus for lying on,got. lig-r-s* 9
apparel,"got. was-t-i* 32, ga-was-ein-s 1"
-- covering apparel,"got. ga-skad-w-ein-s* 1, *skad-w-ein-s?"
-- fine apparel,got. ga-fÐt-ein-s* 1
apparition,"got. *baír-h-t-ein-s?, siu-n-s (1) 11"
appeal (N.),got. *la-þ-a
appear,got. þugk-jan* 23
-- appear similar,got. ga-ga-leik-æn* 3
-- make appear,got. ga-baír-h-t-jan 14=13
appearance,"got. *far-w-a 1, man-aul-i* 1, siu-n-s (1) 11, wli-t-s 6"
-- similar appearance,got. ga-leik-i* 2
-- give a false appearance,got. laug-n-jan* 4
-- give o.s. a pleasing appearance,got. sik samjan
-- give observance to,got. wi-t-an (2) 12
-- give orders to,got. faúr-biud-an* 7
-- make the appearance similar to,got. in-ga-leik-æn* 1
-- present a pleasing appearance,got. sam-jan 2
-- with pleasant appearance,"got. *fÐh-a-ba?, ga-fÐh-a-ba 1"
-- surface appearance,got. hi-wi* 1
-- of equal appearance,got. ibn-a-skaun-s* 1
-- take on an appearance,got. ga-ga-leik-æn* 3
appertain -- appertain to,got. ga-dab-an 2
appertinent,"got. *dæf-s?, ga-dæf-s* 6, *ga-fÐh-s"
-- be appertinent to,"got. *dab-an?, ga-dab-an 2"
apple,got. *apl-s 1
-- apply acumen to,got. and-hru-sk-an* 1
-- apply the resemblance of,got. þaír-h-ga-leik-æn* 1
-- apply to,got. þaír-h-ga-leik-æn* 1
appoint,"got. ga-sat-jan 25, ga-tÐw-jan* 1, us-tai-k-n-jan 16"
appointment -- appointment at court,got. *gardingatus?
apportion,"got. dis-da-i-l-jan* 3, ga-da-i-l-jan* 8, ga-mi-t-an* 1"
-- apportion from,got. af-da-i-l-jan* 1
apposite?,got. til-s* 1
appositely,"got. ga-tÐm-i-ba 1, *tÐm-i-ba"
apprehend,"got. ga-fõh-an 16, greip-an 4"
apprise -- apprise of,got. kan-n-jan 9
approach (N.),got. at-ga-g-g* 2
approach (V.),"got. an-a-ga-g-g-a-n* 1, an-a-qi-m-an* 1, at-hab-an* (sik du) 1, atnÐ¸-jan* 6, du-at-ga-g-g-a-n* 12, du-ri-n-n-an* 2, *ga-waír-þ-an, nÐ¸-jan* (sik) 1"
approachable,got. *at-gõ-h-t-s (2)
appropriate (Adj.),"got. *dæf-s?, ga-dæf-s* 6, *ga-fÐh-s, ga-til-s 2"
-- be appropriate to,"got. *dab-an?, ga-dab-an 2"
appropriate (V.),"got. *aig-in-æn?, ga-aig-in-æn* 2=1"
appropriately,got. ga-til-a-ba 1
approval,got. leik-ain-s* 4
approve,got. ga-kius-an 10=9
approved,got. *ga-kus-an-s?
approvedness,got. ga-kus-t-s* 1
approximately,"got. bi 376=373, swa-swÐ 181=179, swÐ 178"
apt -- apt at teaching,got. lais-eig-s 2
Arabia,got. Arabia 1
arbitrary,got. *wi-l-j-a-hal-þ-s?
arch (V.),got. *¸ilb-an
