English,Gothic
revenge (N.),got. fra-wei-t 4
reverence -- have reverence for,got. æg-an* 43
reverence (V.),"got. ais-t-an* 3, ga-ais-t-an* 1"
revert (V.),got. ga-wa-nd-jan 40
review (N.),got. niu-hs-ein-s* 1
revile (V.),"got. id-wei-t-jan 7, ga-nai-t-jan* 1, lá-i-an* (?) 1"
reviler,got. ub-il-waúr-d-s 1
revision,got. niu-hs-ein-s* 1
revitalize,got. an-a-qiu-jan 1
revival,got. af-t-ra-an-a-stæ-d-ein-s* 1
revive,got. ga-qiu-n-an* 4
revivified -- be revivified,got. ga-qiu-n-an* 4
-- become revivified,got. ga-qiu-n-an* 4
revivify,got. an-a-qiu-jan 1
reward (N.),"got. and-a-lau-n-i 3, lau-n* 6, *lau-n-i (?), mizd-æ 12"
-- reward for winning,got. sig-i-s-laun* 2
reward (V.),got. us-gild-an 7
rib (N.),got. *rib-j-a
ribaldry,got. saldr-a 1
rich (Adj.),got. gab-ig-s 19
-- be rich,got. gab-ig-n-an* 2
-- become rich,got. gab-ig-n-an* 2
-- make rich,got. gab-ig-jan* 1
riches,"got. faíh-u* 7, gab-ei 14"
-- accumulation of riches,got. faíh-u-þrai-h-n* 4
-- gain riches,got. faíh-u-geig-an* 1
-- worldly riches,got. mammæn-a* 2
richly,got. gab-ig-a-ba 1
richness,got. smaír-þr* 1
ride (N.) -- make a ride,got. raid-jan* (2)?
ride (V.),got. *reid-an
ridicule (V.),got. *skaír-n-jan?
riding -- riding vehicle,got. raid-a* 1
right (Adj.),"got. taíh-s-w-a* (1) 19, us-waúrh-t-s* (1) 5"
-- right hand,got. taíh-s-w-a* (2) 2
-- right now,got. nð 231=229
-- right then,got. sun-s-aiw 20
-- right there,got. þa-r-uh 74
-- the right,got. taíh-s-w-a* (2) 2
-- with right,got. ga-raíh-t-a-ba 4
-- set right,"got. ga-raíh-t-jan 4, ga-þwa-st-jan* 5=4, *raíh-t-jan"
right (N.) -- show to be in the right,"got. ga-s-un-j-æn* 1, s-un-j-æn* 2=1"
righteous,"got. ga-raíh-t-s 36=35, us-waúrh-t-s* (1) 5"
-- make righteous,got. ga-raíh-t-jan 4
righteously,got. ga-raíh-t-a-ba 4
righteousness,"got. ga-raíh-t-ei 40, ga-raíh-t-iþ-a* 3, us-waúrh-t-s* (2) 2"
rightly,"got. *raíh-t-a-ba 6, waíl-a 43"
rightness,"got. *raíh-t-ei?, *raíh-t-iþ-a?"
rigid -- become rigid,"got. ga-staúr-k-n-an* 1, *staúr-k-n-an?"
ring (N.),"got. *baug-s, *hri-gg-s"
-- ring of soldiers,got. *hari-hri-gg-s
rip -- rip apart,got. dis-skrei-t-an* 1
-- rip off,got. *riu-b-an
ripen,"got. ga-wri-sq-an* 1, *wri-sq-an?"
rise (V.),"got. *rei-s-an, ur-rei-s-an 58, ur-ri-n-n-an* 27"
-- rise up,"got. fra-qi-m-an* 7, us-sta-n-d-an 41"
-- rise up together,got. mi-þ-ur-rei-s-an* 2
rising (Adj.) -- rising ground,got. hlai-n* 1
-- rising up,"got. ur-ri-s-t-s* 1, us-sta-s-s 16"
rising (N.),got. ur-ru-n-s (1) 3
rite,got. *blæ-st-r?
rival (V.),got. haif-st-jan 4
rivalry,got. haif-st-s* 12=11
rive,"got. dis-skrei-t-an* 1, *skrei-t-an?"
riven -- be riven,"got. dis-skri-t-n-an* 3, *skri-t-n-an?"
-- become riven,got. dis-skri-t-n-an* 3
river,got. a¸-a 7
road,"got. ga-g-g* 2, wig-s (1) 41"
-- main road,got. gat-wæ* 1
-- rough road,got. us-dru-s-t-s* 1
road-bramble,got. wiga-dein-æ* 1
roar (V.),"got. *bra-m-jan?, *bra-m-m-æn?, *hli-m-m-an?"
roast (V.),"got. *bras-æn, *rau-s-t-jan"
roast,got. breen 1
rob (V.),"got. bi-rau-b-æn* 2, ga-tar-n-jan* 1, *rau-b-æn wil-w-an 3"
robber,"got. þiuf-s* 8, wai-dÐ-d-j-a 9, wil-w-a 3"
robbery,"got. *rahn-a, *rau-b-a, wul-w-a* 1"
robe (N.),got. snag-a* 5
robust,got. swinþ-s* 11=10
rock (N.),"got. hal-l-u-s* 1, stai-n-s 34"
rocky -- rocky ground,got. *skor-r-ist-r?
rod (N.),"got. *gan-d-s?, wa-nd-u-s* 1"
roll (V.),"got. *wal-g-jan, wal-t-jan* 1, *wal-w-jan?, *wil-t-an?"
-- roll against,got. at-wal-w-jan* 1
-- roll around on the ground,got. wal-wis-æn* 1
-- roll away,got. af-wal-w-jan* 2
-- roll over,got. *wil-t-an?
-- roll to,got. faúr-wal-w-jan* 1
-- roll together,got. fal-þ-an* 1
-- roll up,got. at-wal-w-jan* 1
-- make roll up,got. at-wal-w-jan* 1
-- make roll up before,got. faúr-wal-w-jan* 1
rolling (N.) -- remove by rolling,got. af-wal-w-jan* 2
-- move in front of by rolling,got. faúr-wal-w-jan* 1
-- move to by rolling,got. at-wal-w-jan* 1
Romans,got. Rðmæneis* 2
Rome,got. Rðm-a* 2
romp (N.),got. laik-s* 1
romp (V.),got. laik-an* 3
roof (N.),"got. hræt* 6, *laub-j-æ laubi?"
roof peak -- edge of a roof peak,got. gibl-a* 1
room (N.),got. rð-m* 1
-- find room,got. ga-mæt-an* 3
-- main room,got. *sal-s?
-- upper room,got. kÐlikn* 3
roomy,got. rð-m-s 1
roost (N.),got. sit-l-s* 4
rooster,got. han-a 7
-- crowing of a rooster,got. hrð-k* 1
root (N.),got. waúrt-s (1) 12
-- with roots,got. ga-waúrt-s* 1
rooted,got. ga-waúrt-s* 1
rootlessness,got. us-wi-s-s-i* 1
rope,got. *sai-l
-- affix ropes to,got. in-sai-l-jan* 1
-- tie ropes onto,"got. in-sai-l-jan* 1, *sai-l-jan"
rough-- rough road,got. us-dru-s-t-s* 1
round (Adj.) -- round about,"got. bi 376=373, bi-sun-j-a-nÐ 7"
-- round mass,got. *kru-p-p-a
rouse (V.),got. ur-rai-s-jan 26
royal -- royal domain,got. þiu-d-an-gard-i 65
-- royal palace,got. þiu-d-an-gard-i 65
rub (V.),"got. b-náu-an* 1, *nau-an?, *strei-k-an"
-- rub to powder,got. ga-mal-w-jan* 1
Rugian,got. *Rug-ei-s
Rugians,got. *Hul-m-a-rug-ei-s?
ruin (N.),"got. riur-ei 3, us-wal-t-ein-s 2"
ruin (V.),"got. ga-taír-an 19, riur-jan* 1, *taír-an?"
ruination,got. riur-ei 3
rule (N.),"got. ga-rai-d-ein-s 8=7, þiu-d-i-n-a-s-su-s 10"
rule (V.),"got. frau-ji-n-æn 7, ga-frau-ji-n-æn* 1, reik-in-æn 3, þiu-d-an-æn 7, waldan 2"
-- rule over,got. frau-ji-n-æn 7
-- rule with,got. mi-þ-þiu-d-an-æn* 2
ruler,"got. al-l-wald-an-d-s 1, faúr-a-ma-þl-ei-s 10, frau-ji-n-æn-d-s* 1, kin-d-in-s 7,"
"reik-s (2) 14, *wald-s?, *wald-an-d-s?",
-- ruler of one of the quarters into which a country or province was,
divided in the ancient Roman empire,got. taítrarkÐ-s 2
-- ruler of the household,got. gar-d-a-wal-d-an-d-s 2
-- ruler of the synagogue,got. swn-ag-æ-g-a-faþ-s* 4
rulership,got. reik-i* 8
ruling power,got. reik-i* 8
rump,got. *baur-t-il-s?
run (N.),"got. *ru-n-j-æ?, ru-n-s (1) 5, *ru-n-s (2)"
run (V.),"got. *hlaup-an?, ri-n-n-an* 14, þrag-jan* 4"
-- run about,got. bi-ri-n-n-an* 2
-- run amiss,got. fra-ri-n-n-an* 1
-- run around,got. bi-ri-n-n-an* 2
-- run away in flight,got. af-þli-u-h-an* 1
-- run before,got. faúr-ri-n-n-an* 1
-- run forth,got. du-ri-n-n-an* 2
-- run on,got. bi-þrag-jan* 1
-- run out,got. ur-ri-n-n-an* 27
-- run thither,got. at-ri-n-n-an* 1
-- run to meet,got. du-ri-n-n-an* 2
-- run together,got. ga-ri-n-n-an* 7
-- run up,got. du-ri-n-n-an* 2
-- run up before,got. du-at-ri-n-n-an* 1
-- run up close by,got. bi-þrag-jan* 1
-- run up to,"got. at-ri-n-n-an* 1, bi-þrag-jan* 1, du-at-ri-n-n-an* 1"
-- make run,got. *ra-n-n-jan?
-- make run down over,got. *uf-ar-ra-n-n-jan 3
rune-- name of ¸-rune,got. ¸air* 1
-- name of a-rune,got. az-a 1?
-- name of a-rune?,got. ah-s-a* 1?
-- name of b-rune,got. ber-cn-a 1
-- name of d-rune,got. dag-s 186
-- name of e-rune,"got. aí¸-s* 1, eyz 1"
-- name of f-rune,got. faíh-u* 7
-- name of g-rune,got. gib-a 13
-- name of h-rune,got. hag-l* 1
-- name of i-rune,"got. *ei-s 1, iiz 1"
-- name of j-rune,"got. gaar 1, jÐr* 25=24"
-- name of k-rune,got. kusm-a* 1
-- name of l-rune,got. lagu-s* 1
-- name of m-rune,got. man-n-a (1) 316
-- name of n-rune,"got. engu-z 1, noicz"
-- name of o-rune,got. æþal* 2
-- name of p-rune,got. paírþr-a* 1
-- name of q-rune,got. qaír-þr-a* 1?
-- name of r-rune,got. raid-a* 1
-- name of s-rune,got. sugil
-- name of t-rune,got. ty-z 1
-- name of u-rune,got. *ð-r-s ðraz?
-- name of w-rune,got. wi-n-n-e 1
-- name of z-rune,got. azÐt-i (?)* 2
-- name of z-rune?,got. ezec 1
runnel,got. ri-n-n-æ* 1
running (Adj.) -- running together,got. ga-ru-n-s* 3
running (N.),"got. *ra-n-n-ein-s?, *ru-n-j-æ?, ru-n-s (1) 5, *ru-n-s (2)"
-- go running,got. þrag-jan* 4
-- win by running,got. ga-ri-n-n-an* 7
runoff,got. ur-ru-n-s (1) 3
rural -- rural area,got. weihs* (2) 11
-- rural hamlet,got. weihs* (2) 11
rural town,got. hai-m-s* (1) 14
rush (V.),"got. ga-sniu-m-jan* 1, *hli-m-m-an?, *hra-p-æn?, sniu-m-jan* 5, got. rin-n-an* 14"
rust (N.),"got. ni-d-wa 2, *rusrustle (N.)"
rye,got. *rugi
Sabbath,got. sabbatæ 28
sabre,"got. haír-u-s 10, mÐk-i* 2"
sacerdotal -- sacerdotal official,got. weih-a 1
sack (N.),got. sakku-s* 2
sackcloth,got. sakku-s* 2
sacred -- sacred and inviolable,got. hai-l-ag-s* 1
sacredly,got. weih-a-ba 1
sacrifice (N.),"got. blæt-i-n-a-s-su-s* 3, hun-sl* 7, sau-þ-s* 4, *ta-b-an?"
-- place for sacrifice,got. hun-sl-a-staþ-s* 4
sacrifice (V.),"got. and-sal-jan 1, ga-sal-jan* 3, hun-sl-jan* 1, sal-jan (2) 6"
sacrificial -- sacrificial animal,got. *ta-b-an?
-- sacrificial animal of poor people,got. hrai-w-a-dðb-æ* 1
-- sacrificial ceremony,got. *blæ-st-r?
-- sacrificial gift,got. tibr* 1
-- sacrificial offering,got. sau-þ-s* 4
sacrilegious -- sacrilegious speech,got. *waj-a-mÐ-r-ein-s 5
sacrilegiously -- speak sacrilegiously,got. waj-a-mÐ-r-jan 10
sacrosanct,got. hai-l-ag-s* 1
sad,got. gau-r-s 6
Sadduccees,got. Saddukaieis 2
sadness,got. trig-æ* 1
safe (Adj.) -- keep safe,"got. frei-d-jan* 6, *ga-frei-d-jan?"
-- make safe,got. ga-nas-jan 29
safeguard,got. þwa-st-iþ-a 1
safekeeping (N.),got. ga-frei-d-ein-s* 3=2
-- cover up for safekeeping,got. fil-h-an 1
-- act (N.) of committing to s.o.'s safekeeping,got. an-a-fil-h* 6
-- commit to for safekeeping,got. an-a-fil-h-an 21
safety -- put into safety,got. ga-nas-jan 29
sagacious,got. snutr-s* 2
sagacity,got. snutr-ei* 2
sail (V.),got. far-jan* 2
saintliness,"got. ga-gu-d-ei 12, *gu-d-ei?"
saintly,got. ga-gu-þ-s* 1
-- in a saintly manner,got. ga-gu-d-a-ba 1
sake,got. waíh-t-s 80=79
-- for the sake of,"got. an-a (1) 273, faúr 79=78, in 1792"
sale -- written deed of sale,got. fra-baúh-t-a-bæk-a* 1
sale deed,got. fra-baúh-t-a-bæk-a* 1
sale document,got. fra-baúh-t-a-bæk-a* 1
sales receipt,got. fra-baúh-t-a-bæk-a* 1
saliva,got. spai-sk-ul-dr* 1
salt (N.),got. sal-t 8
salt (V.),"got. ga-su-p-æn* 2, sal-t-an* 2, su-p-æn* 1"
salted,got. *sal-t-an-s?
salutation,got. gæl-ein-s 6
-- address with salutations,got. and-qiþ-an 2
salute (V.),"got. and-qiþ-an 2, gæl-jan 19, in-wei-t-an* 10"
salvation,"got. ga-nis-t-s 12=11, nas-ein-s 14, *nis-t-s?, us-lau-s-ein-s* 2, us-lu-n-eins* 1"
salve (1) (N.),got. salb-æn-s* 1
-- salve with an ointment,"got. ga-salb-æn* 6, salb-æn 5"
Samaritan,got. SamareitÐs 3
same,got. sam-a 45
-- the same,got. sam-a 45
sample (V.),got. kaus-jan 7
sanctification,got. weih-iþ-a* 7
sanctified,got. weih-s (1) 88
-- be sanctified,got. weih-n-an* 1
-- become sanctified,got. weih-n-an* 1
sanctify,"got. ga-weih-an* 7, weih-an* (2) 3"
sanctity,got. weih-iþ-a* 7
-- outside of sanctity,got. us-weih-s* 3
-- with sanctity,got. weih-a-ba 1
sanctuary,got. *weih
sand (N.),"got. *aur (1), mal-m-a 2, mul-d-a* 2"
sandal,"got. skæh-s* (1) 3, sul-j-a* 1"
-- sandals,got. ga-skæh-i* 2
-- wearing sandals,got. ga-skæh-s* 3
sandal strap,got. skau-d-a-rai-p* 3
sandy,got. *aur-ah-s?
Sanhedrin,got. ga-faúr-d-s 2
sated,got. sa-þ-s* 12
satiate,"got. ga-næh-jan* 5, ga-sæ-þ-jan 3, *sæ-þ-jan"
satiated,got. sa-þ-s* 12
satiation,got. sæ-þ* 1
satisfaction,"got. ga-naúh-a* 3, sæ-þ* 1"
satisfactoriness,got. *naúh-a?
satisfied,got. sa-þ-s* 12
satisfy,"got. ful-l-a-fah-jan 3, ga-næh-jan* 5, ga-sæ-þ-jan 3, *næh-jan?, *sæ-þ-jan"
-- satisfy requirements,got. bi-naúh-an* 3
Saturday,got. sabbatæ 28
save (Präp.),got. al-ja 17
save (V.),"got. *baúr-g-jan?, ga-nas-jan 29, *lu-n-jan, nas-jan 10, us-lau-s-jan* 5"
saved -- be saved,"got. ga-nis-an 24, *nis-an?"
-- become saved,got. ga-nis-an 24
saving (N.),"got. *frei-d-ein-s?, nas-ein-s 14"
saviour,got. nas-jan-d-s 16
say,got. qiþ-an 1270
say a prayer,got. ga-bid-jan* 1
say farewell to,got. and-qiþ-an 2
scabbard,got. fæd-r* 1
scabies,got. *ra-p-p-a?
scald (V.),got. *bræ-jan?
scarcely,got. *halis?
-- scarcely ever,got. halis-aiw 1
scare (V.),"got. af-ag-jan* 2, af-s-lau-þ-jan* 2, *gai-s-jan, *gei-s-n-an?, æg-jan 1,"
þlahs-jan* 1,
-- scare away,got. af-ag-jan* 2
scared -- be scared,got. ga-þlahs-n-an* 1
-- become scared,got. ga-þlahs-n-an* 1
scatter (V.),"got. fra-waír-p-an* 2, stra-u-jan* 2, *trusn-jan?"
scatter,got. dis-tah-jan* 5
-- scatter completely away by winnowing,got. dis-winþ-jan* 1
-- scatter down,got. uf-stra-u-jan* 1
-- scatter over,got. uf-ar-trusn-jan* 1
scattering,got. dis-tah-ein-s* 1
schism,got. mis-s-a-qui-s-s 3
scoff -- scoff at,got. bi-mamp-jan* 1
scold (V.),"got. an-a-hai-t-an* 6, and-bei-t-an 9, ga-sak-an 19"
scorched -- become scorched,got. uf-bri-n-n-an* 1
score (V.),got. *wre-i-t-an
scorn (V.),got. fra-kun-n-an 16
scorpion,got. skaúrp-j-æ* 1
scourge (V.),got. us-bli-ggw-an* 7
scout (M.),"got. *sku-lk-a, *spaíh-a"
scout (V.) -- scout out,got. bi-niu-hs-jan 1
scrap (N.),"got. *fat-a, *lask-a?"
scrape (V.),got. *raz-z-jan
-- scrape up,got. rik-an* 1
scratch (V.),"got. *krat-t-æn, *raz-z-jan"
-- scratch of the pen,got. wr-i-t-s* 1
screech (V.),got. *kreit-an
scribe (M.),got. wi-t-æd-a-lais-õrei-s* 2
scribe,got. bæk-õrei-s 39
script,got. bæk-a 34=33
scripture (N.),"got. ga-mÐl-ein-s 4, ga-mÐl-iþs (bzw. þata gamÐlidæ), mÐl* (2) 3,"
"*mÐl-ein-s?, *mÐl-i?",
-- holy scriptures,got. bæk-a 34=33
scurillity,got. saldr-a 1
scythe -- harvest by scythe,got. sneiþ-an* 9
Scythian,got. Skwþu-s 1
sea,"got. *au-r (2), lagu-s* 1, *mar?, mar-ei 38, mari-saiw-s* 3, sai-w-s* 6"
-- inland sea,got. mar-ei 38
-- calm on the sea,got. wis 3
-- quiescence on the sea,got. wis 3
-- go by sea,got. far-jan* 2
-- tranquillity on the sea,got. wis 3
seafare (V.),got. far-jan* 2
seal (N.),got. sig-l-j-æ 2
-- put a seal before,got. faúr-sig-l-jan* 1
-- put a seal on,got. sig-l-jan* 1
-- set a seal upon,got. ga-sig-l-jan* 4=3
-- set one's seal,got. faúr-sig-l-jan* 1
seal (V.),"got. ga-sig-l-jan* 4=3, sig-l-jan* 1"
-- seal off,got. faúr-sig-l-jan* 1
-- seal up,got. faúr-sig-l-jan* 1
sear (V.),got. ga-tand-jan* 1
search (V.),"got. *hru-sk-an?, sæk-jan 72, us-sæk-jan* 8"
searcher,got. *sæk-j-a
season (N.),"got. aþ-n* 1, mÐ-l (1) 54"
-- out of season,got. un-ðh-t-eig-æ 1
-- in season,got. ð-h-t-eig-æ* 2=1
season (V.),"got. ga-su-p-æn* 2, su-p-æn* 1"
seasonably,got. ð-h-t-eig-æ* 2=1
seat (N.),"got. sit-l-s* 4, stæ-l-s 4"
-- judgement seat,got. stá-u-a-stæ-l-s* 3
-- take a seat,got. ga-sit-an 11
seat (V.) seat together with,got. mi-þ-ga-sat-jan* 2=1?
seated -- be seated,got. sit-an 33
seclude -- seclude under cover,got. dis-hul-jan* 1
seclusion,got. *laug-n-s (1)
second (Adj.),got. an-þar 157
secrecy,"got. an-a-laug-n-ei* 1, ful-h-sn-i* 7"
secret (Adj.),"got. an-a-laug-n-s* 6=5, ful-g-in-s* 3, *þiub-j-i-s?"
-- secret consultation,"got. ga-rðn-i* 4, rð-n-a 18"
-- secret council,got. rð-n-a 18
-- secret counsel,"got. ga-rðn-i* 4, rð-n-a 18, *rð-n-i?"
-- secret plan,got. rð-n-a 18
-- in secret,got. þiub-j-æ* 2
-- keep secret,"got. *dar-n-jan?, ga-þah-an* 2, þah-an* 6"
secret (N.),got. rð-n-a 18
secretary-lector -- secretary-lector of a religious community,got. bæk-õrei-s
secretiveness,got. an-a-laug-n-ei* 1
secretly,"got. an-a-laug-n-i-ba 1, þiub-j-æ* 2"
sectarian -- sectarian divisiveness,got. twi-s-sta-s-s* 2=1
section,got. hal-b-a* 2
-- adjacent section,got. fÐr-a* 4
secure (Adj.),got. *ar-n-ei-s?
-- secure in jurisprudence,got. *wi-t-æd-a-fast-s?
-- make secure,got. ga-þwa-st-jan* 5=4
secure (V.),"got. faír-waúrk-jan* 1, wi-t-an (2) 12"
securely,got. ar-n-i-ba 1
security,"got. kawts-j-æ* 4, þwa-st-iþ-a 1"
sedateness,got. an-a-wi-l-j-ei 3
seducer,got. airzjands
seduction,got. *us-wa-nd-ein-s?
-- delusive seduction,got. af-mar-z-ein-s 2
see (Interj.),got. sai 101
see (V.),"got. ga-saí¸-an 162, saí¸-an 106, *wei-t-an (1), *wei-t-jan?"
-- see to,got. gau-m-jan 16
-- come to see,"got. ga-wei-s-æn* 5, *wei-s-æn?"
-- for all to see,"got. and-aug-i-ba 4, and-aug-j-æ 3"
-- go to see,"got. ga-wei-s-æn* 5, *wei-s-æn?"
seeable,"got. *an-a-siu-n-i-ba, an-a-siu-n-s* 2, *siu-n-i-ba?, *siu-n-s (2)"
seed (N.),"got. frai-w 23, *sÐ-þ-s"
seed (V.),got. sái-an 30
-- seed in,got. in-sái-an* 1
seeding (N.),got. us-sat-ein-s* 1
seeing (N.),"got. siu-n-s (1) 11, *wi-t-ain-s?"
seek (V.),got. ga-sæk-jan* 3. sæk-jan 72
-- seek out,got. us-sæk-jan* 8
-- seek to please,got. sam-jan 2
seem -- it seems,got. þugk-jan* 23
seeming (N.),got. þðh-tu-s* 5=4
seer,got. *siu-n-ei-s?
seethe,"got. *bre-u-w-an, *siu-d-an?, wul-an* 2"
segregate -- segregate by covering up,got. dis-hul-jan* 1
seize,"got. dis-sit-an* 3, fõh-an 2, faír-greip-an* 4, fra-wil-w-an 8, ga-fõh-an 16, gahab-an 11, greip-an 4, und-greip-an 8"
-- seize by violence,got. wil-w-an 3
-- seize utterly,got. dis-hab-an* 4
select,"got. ga-wa-l-jan* 18, us-sæk-jan* 8, wa-l-jan* 2"
selection,got. ga-wa-l-ein-s* 2
self,got. si-l-b-a 186=185
self-abnegating (Adj.),got. ga-þaúrb-s 1
self-abnegation -- exercise self-abnegation,got. ga-þarb-an 2
self-confidence,got. stæ-m-a* 2
self-control,"got. ga-hæb-ain-s 1, *stiu-r (2), *stiu-r-i"
-- lack of self-control,got. un-ga-hæb-ain-s* 1
-- lacking self-control,got. un-ga-hab-an-d-s* sik 1
self-controlled,"got. *an-a-wi-l-ji-s?, *ga-hab-an-d-s?"
selfdesire -- full of selfdesire,got. seina-gaír-n-s* 1
self-enrichment -- self-enrichment at others expense,"got. bi-faih* 1, bi-faihæn-s* 1"
self-indulgent -- be self-indulgent,got. wiz-æn* 1
selfish,got. seina-gaír-n-s* 1
self-loving,got. seina-gaír-n-s* 1
self-possession,got. an-a-wi-l-j-ei 3
self-sufficiency,got. ga-naúh-a* 3
sell (V.),got. fra-bug-jan 10
semination,got. us-sat-ein-s* 1
send (V.),got. *mi-þ-sand-jan?
send,got. sand-jan 34
-- send away,"got. in-sand-jan 87, sand-jan 34"
-- send forth,got. us-sand-jan* 2
-- send off,got. ga-sand-jan 2
-- send on,got. ga-sand-jan 2
-- send on a mission,got. in-sand-jan 87
-- send on ahead,got. faúr-a-ga-sand-jan* 1
-- send out,"got. us-sand-jan* 2, us-sat-jan* 8"
-- send thither,got. in-sand-jan 87
-- send thither along,got. ga-miþ-sand-jan* 2=1
-- send thither along with,got. mi-þ-in-sand-jan* 1
sending (N.),got. *sand-a?
seneschal,got. *sin-i-s-kal-k-s?
sense -- sense of hearing,"got. hau-s-ein-s* 5, hliu-m-a 4"
-- sense of sight,got. siu-n-s (1) 11
-- sense of smell,got. dau-n-s 7
-- go out of one's senses,got. us-gei-s-n-an* 8
senselessness,got. un-wi-t-i 3
sensible,"got. *ah-s (2), and-a-þõh-t-s 6"
sensual craving,got. wi-n-n-æ* 3
sentenced to death,got. dau-þ-u-blei-s* 1
sentinel,got. spaík-ul-at-ur* 1
separate (V.),"got. af-gib-an* sik 1, and-lÐ-t-n-an 1, skai-d-an 5"
-- separate o.s.,got. ga-skai-d-an sik* 1
-- separate off,got. af-skai-d-an 6
separated -- be separated,"got. ga-skai-d-n-an* 1, *skai-d-n-an?"
-- become separated,"got. ga-skai-d-n-an* 1, *skai-d-n-an?"
separately,got. sun-dr-æ 10
separateness,"got. ga-skai-d-ein-s 1, *skai-d-ein-s?"
separation,"got. af-sta-s-s 2, dis-wi-s-s* 1"
sepulchre,got. hlai-w* 16
sequence,got. wik-æ* 1
serif,"got. stri-k-s 1, wr-i-t-s* 1"
serpent,got. waúr-m-s 3
servant,"got. andb-ah-t-s 39=38, dia-kaún-u-s* 9, s-kal-k-s 57=56, þiu-s* 2"
-- oldest servant,got. *sin-i-s-kal-k-s?
-- servant boy,got. þiu-magu-s 6
-- paid servant,got. asn-ei-s 6
-- leader of servants,"got. *þiu-faþ-s?, þiu-faþ-us* 21"
serve (V.),"got. andb-ah-t-jan 23=22, blæt-an 3, ful-l-a-fah-jan 3, s-kal-k-i-n-æn 25"
-- serve in the military,got. milit-æn* 1
-- serve together with,got. mi-þ-s-kal-k-i-n-æn* 1
-- serve under a war-lord,got. draú-h-t-in-æn* 4
server,got. andb-ah-t-s 39=38
service,"got. andb-ah-t-i 25=24, s-kal-k-i-n-a-s-su-s 5"
-- service under a war-lord,got. draú-h-t-i-n-a-s-su-s* 1
-- do service,got. s-kal-k-i-n-æn 25
serviceable,got. brðk-s 7
serviceman,got. ga-draú-h-t-s 5
servitor,got. þiu-s* 2
servitors,got. þÐw-i-s* 2
servitude,"got. s-kal-k-i-n-a-s-su-s 5, þiw-adw* 1"
-- be in servitude,got. s-kal-k-i-n-æn 25
set (V.),"got. ga-sat-jan 25, lag-jan 29, sat-jan* 9, us-sat-jan* 8"
-- set a price on,got. waír-þ-æn* 1
-- set a rest,got. an-a-¸eil-an* 1
-- set a seal upon,got. ga-sig-l-jan* 4=3
-- set afire,got. in-bran-n-jan* 1
-- set apart by covering,got. dis-hul-jan* 1
-- set around,got. bi-sat-jan* 1
-- set aside,got. af-sat-jan 3
-- set before,"got. at-sat-jan 3, faúr-a-ga-sat-jan* 1"
-- set down,"got. at-hõh-an* 2, ga-sat-jan 25, lag-jan 29"
-- set forth,"got. faúr-a-ga-hug-jan* 1, faúr-a-ga-leik-an* 1"
-- set free,got. ga-lau-s-jan 13
-- set in front of,got. faúr-lag-jan 3
-- set in motion,got. ga-wag-jan 4
-- set in order,got. at-ga-raíh-t-jan* 1
-- set off,got. af-sat-jan 3
-- set on fire,got. in-bran-n-jan* 1
-- set one's seal,got. faúr-sig-l-jan* 1
-- set opposite,got. wi-þra-waír-þ-s* 5=4
-- set out for,got. ga-lei-þ-an 142=140
-- set right,"got. ga-raíh-t-jan 4, ga-þwa-st-jan* 5=4, *raíh-t-jan"
-- set steadfastly,got. ga-tul-g-jan 10
-- set up,"got. ga-sat-jan 25, rai-s-jan* 1"
-- set up as a guidepost,got. stiu-r-jan 2
setting (N.),"got. saggq-s* 1, *sat-ein-s?"
-- setting aright,got. ga-raíh-t-ein-s* 1
-- setting aside (N.),got. af-sat-ein-s* 1
-- setting at liberty,got. fra-lÐ-t* 6=5
-- setting forth,got. faúr-lag-ein-s* 2
seven,got. sibun 17
seventh,got. *sibun-da
seventy,got. sibun-tÐ-hund 2
sever,"got. af-mai-t-an* 8, af-skai-d-an 6"
severe,got. ab-r-s 1
severely,"got. ab-r-a-ba 3, ¸as-s-a-ba 1"
-- beat severely,got. us-bli-ggw-an* 7
-- persecute severely,got. fra-wri-k-an* 1
severity,"got. ¸as-s-ei* 2, un-frei-d-ein-s* 2=1"
-- with severity,got. har-d-u-ba 3
sew (V.),got. siu-jan* 1
sewer,got. ur-ru-n-s (1) 3
sex -- of female sex,got. qin-a-kun-d-s* 1
-- of the male sex,got. gum-a-kun-d-s* 2
sexual -- sexual aching,got. wi-n-n-a* 1
-- sexual intercourse,"got. ga-lig-r-i* 1, lig-r-s* 9"
shackle (N.),got. nau-d-i-band-i* 4
-- iron shackle,got. eis-arn-a-band-i* 1
shade (N.),got. skad-u-s 3
shade (V.),"got. *ga-skad-w-jan?, *skad-w-jan?"
»shading« (N.),got. ga-skad-w-ein-s* 1
shadow (N.),got. skad-u-s 3
-- cover with shadow,"got. *ga-skad-w-jan?, *skad-w-jan?"
shaft,"got. scaptus* 1, *skaf-t-s (1), *skap-tshake (V.)"
-- shake into densest compactness,got. ga-wig-an* 1
-- shake off,"got. af-hri-s-jan* 2, us-hri-s-jan* 1"
-- shake together,got. ga-wig-an* 1
-- come to shake,got. in-reir-an* 1
-- make shake,"got. ga-wag-jan 4, wag-jan 3"
shaken,"got. *ga-wag-iþ-s?, us-fil-m-a* 2"
shall,"got. skul-an* 75=74, skul-an* 75=74"
-- shall being,got. du-gi-n-n-an* 47=46
-- shall not,got. ni-u 69
shame (N.),"got. aiw-isk-i* 2, *s-kam-a, s-kan-d-a* 1"
