記得 ; 记得 ; jìde ; HSK3,(re)memorar
季節 ; 季节 ; jìjié ; HSK3,seson; témpor; periode
檢查 ; 检查 ; jiǎnchá ; HSK3,controlar; examinar; inspecter
簡單 ; 简单 ; jiǎndān ; HSK3,simplic; ne complicat
見面 ; 见面 ; jiànmiàn ; HSK3,incontrar alquem; incontra
健康 ; 健康 ; jiànkāng ; HSK3,san; sanitá
講 ; 讲 ; jiǎng ; HSK3,parlar; lecter; explicar; un parlada; un parlada
"教 ; 教 ; jiāo, jiào ; HSK3",docer; instructer | religion; instruction
"角 ; 角 ; jiǎo, jué ; HSK3",corn; angul; monete (1/10 yuan); | rol (teatre)
腳 ; 脚 ; jiǎo ; HSK3,pede
接 ; 接 ; jiē ; HSK3,conexer; incontrar; reciver
街道 ; 街道 ; jiēdào ; HSK3,strade
節目 ; 节目 ; jiémù ; HSK3,programma; articul (sur un programma)
節日 ; 节日 ; jiérì ; HSK3,die festal; festa
結婚 ; 结婚 ; jiéhūn ; HSK3,mariar se
結束 ; 结束 ; jiéshù ; HSK3,terminar; finir; concluder
解決 ; 解决 ; jiějué ; HSK3,resoluer; finir un dispute
借 ; 借 ; jiè ; HSK3,prestar; pruntar
經常 ; 经常 ; jīngcháng ; HSK3,sovente; frequent; omnidial
經過 ; 经过 ; jīngguò ; HSK3,trapassar; quam resultate
經理 ; 经理 ; jīnglǐ ; HSK3,gerente; director
久 ; 久 ; jiǔ ; HSK3,long (témpor)
舊 ; 旧 ; jiù ; HSK3,old; anteyan; usat
句子 ; 句子 ; jùzi ; HSK3,frase
決定 ; 决定 ; juédìng ; HSK3,decider; resoluer
可愛 ; 可爱 ; kě'ài ; HSK3,pretti; amabil
渴 ; 渴 ; kě ; HSK3,setosi; havent sete
刻 ; 刻 ; kè ; HSK3,quaresim (de un hor); (contator por curt pezzes de témpor); tranchar; ciser
客人 ; 客人 ; kèrén ; HSK3,gast; cliente
空調 ; 空调 ; kōngtiáo ; HSK3,climatisation
口 ; 口 ; kǒu ; HSK3,bocca
哭 ; 哭 ; kū ; HSK3,plorar; lacrimar
褲子 ; 裤子 ; kùzi ; HSK3,pantalones
筷子 ; 筷子 ; kuàizi ; HSK3,bastonettes (por manjar)
藍 ; 蓝 ; lán ; HSK3,blu
老 ; 老 ; lǎo ; HSK3,old; etosi; dur; frequent
離開 ; 离开 ; líkāi ; HSK3,lassar; departer
禮物 ; 礼物 ; lǐwù ; HSK3,don; donation
歷史 ; 历史 ; lìshǐ ; HSK3,historie
臉 ; 脸 ; liǎn ; HSK3,visage
